RETIRED_UOPS,PMC2,1954831
RETIRED_FLOPS_DOUBLE_ALL,PMC3,11475
TABLE,Region NewtonInexato_Hessiana_32,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0003,
Runtime unhalted [s],0.0007,
DP [MFLOP/s],43.3565,
CPI,1.3278,
CPI (based on uops),1.1947,
IPC,0.7531,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_SL_32,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.003652,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,14719480
CPU_CLOCKS_UNHALTED,PMC1,14718690
RETIRED_UOPS,PMC2,15023420
RETIRED_FLOPS_DOUBLE_ALL,PMC3,3247999
TABLE,Region NewtonInexato_SL_32,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0037,
Runtime unhalted [s],0.0042,
DP [MFLOP/s],889.4624,
CPI,0.9999,
CPI (based on uops),0.9797,
IPC,1.0001,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_50,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.025305,
call count,1,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,16752070
CPU_CLOCKS_UNHALTED,PMC1,18657130
RETIRED_UOPS,PMC2,17922710
RETIRED_FLOPS_DOUBLE_ALL,PMC3,4509279
TABLE,Region NewtonPadrao_50,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0253,
Runtime unhalted [s],0.0053,
DP [MFLOP/s],178.1968,
CPI,1.1137,
CPI (based on uops),1.0410,
IPC,0.8979,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_Gradiente_50,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000022,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,363484
CPU_CLOCKS_UNHALTED,PMC1,1526481
RETIRED_UOPS,PMC2,509703
RETIRED_FLOPS_DOUBLE_ALL,PMC3,27897
TABLE,Region NewtonPadrao_Gradiente_50,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],2.241845e-05,
Runtime unhalted [s],0.0004,
DP [MFLOP/s],1244.3768,
CPI,4.1996,
CPI (based on uops),2.9948,
IPC,0.2381,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_Hessiana_50,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000622,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,3874222
CPU_CLOCKS_UNHALTED,PMC1,3746376
RETIRED_UOPS,PMC2,4145391
RETIRED_FLOPS_DOUBLE_ALL,PMC3,17901
TABLE,Region NewtonPadrao_Hessiana_50,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0006,
Runtime unhalted [s],0.0011,
DP [MFLOP/s],28.7764,
CPI,0.9670,
CPI (based on uops),0.9037,
IPC,1.0341,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_SL_50,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.002030,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,11653820
CPU_CLOCKS_UNHALTED,PMC1,8956882
RETIRED_UOPS,PMC2,11987840
RETIRED_FLOPS_DOUBLE_ALL,PMC3,4438683
TABLE,Region NewtonPadrao_SL_50,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0020,
Runtime unhalted [s],0.0026,
DP [MFLOP/s],2186.3247,
CPI,0.7686,
CPI (based on uops),0.7472,
IPC,1.3011,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_50,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.033341,
call count,1,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,39312650
CPU_CLOCKS_UNHALTED,PMC1,40060080
RETIRED_UOPS,PMC2,40539940
RETIRED_FLOPS_DOUBLE_ALL,PMC3,7988659
TABLE,Region NewtonInexato_50,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0333,
Runtime unhalted [s],0.0114,
DP [MFLOP/s],239.6062,
CPI,1.0190,
CPI (based on uops),0.9882,
IPC,0.9813,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_Gradiente_50,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000022,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,365720
CPU_CLOCKS_UNHALTED,PMC1,1534272
RETIRED_UOPS,PMC2,511939
RETIRED_FLOPS_DOUBLE_ALL,PMC3,27897
TABLE,Region NewtonInexato_Gradiente_50,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],2.152537e-05,
Runtime unhalted [s],0.0004,
DP [MFLOP/s],1296.0056,
CPI,4.1952,
CPI (based on uops),2.9970,
IPC,0.2384,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_Hessiana_50,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000622,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,3875854
CPU_CLOCKS_UNHALTED,PMC1,3770480
RETIRED_UOPS,PMC2,4147840
RETIRED_FLOPS_DOUBLE_ALL,PMC3,17901
TABLE,Region NewtonInexato_Hessiana_50,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0006,
Runtime unhalted [s],0.0011,
DP [MFLOP/s],28.7637,
CPI,0.9728,
CPI (based on uops),0.9090,
IPC,1.0279,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_SL_50,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.008021,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,34200110
CPU_CLOCKS_UNHALTED,PMC1,30204810
RETIRED_UOPS,PMC2,34589950
RETIRED_FLOPS_DOUBLE_ALL,PMC3,7918063
TABLE,Region NewtonInexato_SL_50,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0080,
Runtime unhalted [s],0.0086,
DP [MFLOP/s],987.2011,
CPI,0.8832,
CPI (based on uops),0.8732,
IPC,1.1323,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
